name,city,region,official_domain,website,admissions_url,programs_url,fees_url,specialties,requirements,tuition,ranking,description
Tsinghua University,Beijing,North,tsinghua.edu.cn,https://www.tsinghua.edu.cn/en/,,,"Engineering, Computer Science",,,1,
Peking University,Beijing,North,pku.edu.cn,https://english.pku.edu.cn/,,,"Law, Medicine",,,2,
